task,estimator,in_distribution,test_accuracy,test_accuracy_clopper_pearson_95%_interval
Diabetes,VREX,True,0.8727734948908001,"(0.8708840716357125, 0.8746450556974756)"
Food Stamps,Adv. Label DRO,True,0.8430457343439995,"(0.8404841644952903, 0.8455819658272158)"
Food Stamps,CatBoost,True,0.8494429465330416,"(0.8469240622060444, 0.8519360185153328)"
Food Stamps,DRO,True,0.8435926133184107,"(0.8410346333862376, 0.8461252143719363)"
Food Stamps,FT-Transformer,True,0.8431856336165233,"(0.840624981083291, 0.845720937420533)"
Food Stamps,Label Group DRO,True,0.7711756626138271,"(0.7682103425143687, 0.7740955264526403)"
Food Stamps,LightGBM,True,0.8358770858770859,"(0.8332650491997169, 0.8384555779173162)"
Food Stamps,MLP,True,0.8409853996031947,"(0.838410402073082, 0.8435352113892239)"
Food Stamps,NODE,True,0.8493030472605179,"(0.8467832130224862, 0.8517970795208715)"
Food Stamps,ResNet,True,0.8428168082616879,"(0.8402537388834453, 0.8453545562331115)"
Food Stamps,SAINT,True,0.8487688864017907,"(0.8462454320931243, 0.8512665783152669)"
Food Stamps,TabTransformer,True,0.8362669786844381,"(0.8336617977193678, 0.8388473233726285)"
Food Stamps,XGBoost,True,0.8444192908378695,"(0.8418667582366127, 0.8469463833176115)"
Food Stamps,CORAL,True,0.817685811670143,"(0.8149689971657214, 0.8203791654484592)"
Food Stamps,DANN,True,0.8091010835834562,"(0.806323527787132, 0.811830378582737)"
Food Stamps,Group DRO,True,0.8402859032405758,"(0.83770638153751, 0.8428402910121008)"
Food Stamps,IRM,True,0.8122678943887673,"(0.8095205628230302, 0.8149921661422966)"
Food Stamps,MMD,True,0.8129038001729664,"(0.8101600052437341, 0.8156244882379406)"
Food Stamps,MixUp,True,0.8186905428091774,"(0.8159794846139847, 0.8213780659225998)"
Food Stamps,VREX,True,0.8091010835834562,"(0.806323527787132, 0.811830378582737)"
Hospital Readmission,Adv. Label DRO,True,0.655003498950315,"(0.6405551317602171, 0.6692403738081658)"
Hospital Readmission,CatBoost,True,0.6594355026825286,"(0.6450280279259692, 0.6736254307387063)"
Hospital Readmission,DRO,True,0.6277116864940517,"(0.613041199894126, 0.6422079496131)"
Hospital Readmission,FT-Transformer,True,0.6475390716118498,"(0.6330249172536977, 0.6618519290128904)"
Hospital Readmission,Label Group DRO,True,0.6517378119897365,"(0.6372601891396628, 0.6660084032032435)"
Hospital Readmission,LightGBM,True,0.6575693958479123,"(0.6431445357703667, 0.6717792585138025)"
Hospital Readmission,MLP,True,0.6475390716118498,"(0.6330249172536977, 0.6618519290128904)"
Hospital Readmission,NODE,True,0.6592022393282015,"(0.6447925780470971, 0.6733946725765543)"
Hospital Readmission,ResNet,True,0.6386750641474225,"(0.6240877463138477, 0.6530731898170006)"
Hospital Readmission,SAINT,True,0.6536039188243526,"(0.6391429228850873, 0.6678553342006577)"
Hospital Readmission,TabTransformer,True,0.5843247025892232,"(0.5694019044158384, 0.5991324885983695)"
Hospital Readmission,XGBoost,True,0.6508047585724284,"(0.6363189126203304, 0.6650848473091759)"
Hospital Readmission,CORAL,True,0.622113365990203,"(0.6074034881805305, 0.6366566627164163)"
Hospital Readmission,DANN,True,0.5838581758805692,"(0.5689333147083898, 0.5986686613837358)"
Hospital Readmission,Group DRO,True,0.6389083275017495,"(0.6243228667469425, 0.6533042775745529)"
Hospital Readmission,IRM,True,0.5952880802425939,"(0.5804176915221746, 0.6100284981730163)"
Hospital Readmission,MMD,True,0.6256123163051085,"(0.6109268158986976, 0.6401264592193318)"
Hospital Readmission,MixUp,True,0.588756706321437,"(0.5738541857276613, 0.6035381678800802)"
Hospital Readmission,VREX,True,0.5838581758805692,"(0.5689333147083898, 0.5986686613837358)"
ICU Hospital Mortality,Adv. Label DRO,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,CatBoost,True,0.9337078651685392,"(0.9140711857471184, 0.9481639493580781)"
ICU Hospital Mortality,DRO,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,FT-Transformer,True,,
ICU Hospital Mortality,Label Group DRO,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,LightGBM,True,0.9457013574660634,"(0.9278629567566067, 0.9589951156236736)"
ICU Hospital Mortality,MLP,True,0.9123595505617976,"(0.8906007778410395, 0.9290961845632935)"
ICU Hospital Mortality,NODE,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,ResNet,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,SAINT,True,,
ICU Hospital Mortality,TabTransformer,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
ICU Hospital Mortality,XGBoost,True,0.9269662921348316,"(0.9078565218801085, 0.9431851067891702)"
ICU Hospital Mortality,CORAL,True,0.9146067415730336,"(0.8930541510268734, 0.931120830885726)"
