task,estimator,in_distribution,test_accuracy,test_accuracy_clopper_pearson_95%_interval
College Scorecard,ResNet,False,0.8535502958579881,"(0.8335676032304921, 0.8719819417551281)"
College Scorecard,SAINT,False,0.8136094674556213,"(0.7918084972642115, 0.8340377561365926)"
College Scorecard,TabTransformer,False,0.8454142011834319,"(0.825026826666725, 0.8642870484451998)"
College Scorecard,XGBoost,False,0.8303393213572855,"(0.808772334415069, 0.8495458859108034)"
College Scorecard,CORAL,False,0.7951183431952663,"(0.7726033935800429, 0.8163425745713385)"
College Scorecard,DANN,False,0.7803254437869822,"(0.757289390615093, 0.8021361497962625)"
College Scorecard,Group DRO,False,0.8291420118343196,"(0.8079998693599169, 0.8488423591868609)"
College Scorecard,IRM,False,0.746301775147929,"(0.7214579294871754, 0.7685940705588276)"
College Scorecard,MMD,False,0.7951183431952663,"(0.7726033935800429, 0.8163425745713385)"
College Scorecard,MixUp,False,0.7455621301775148,"(0.7214579294871754, 0.7685940705588276)"
College Scorecard,VREX,False,0.7544378698224852,"(0.7305867775498863, 0.7771776768440913)"
Diabetes,Adv. Label DRO,False,0.8317850746268657,"(0.8301758714721725, 0.8333850868176997)"
Diabetes,CatBoost,False,0.8329217910447761,"(0.8313169040506541, 0.8345174555369415)"
Diabetes,DRO,False,0.8320286567164179,"(0.8304203762204545, 0.8336277394904354)"
Diabetes,FT-Transformer,False,0.8324107462686567,"(0.8308039155311171, 0.8340083686832435)"
Diabetes,Label Group DRO,False,0.8312167164179104,"(0.82960536510999, 0.8328188925306842)"
Diabetes,LightGBM,False,0.8330889552238806,"(0.8314847052019533, 0.8346839781058202)"
Diabetes,MLP,False,0.8318710447761194,"(0.8302621671269627, 0.8334707290762168)"
Diabetes,NODE,False,0.8331797014925373,"(0.8315757974971341, 0.8347743758301543)"
Diabetes,ResNet,False,0.8291438805970149,"(0.8275247504316149, 0.8307538930748201)"
Diabetes,SAINT,False,0.8328883582089552,"(0.8312833438895825, 0.8344841509539753)"
Diabetes,TabTransformer,False,0.8304811940298508,"(0.8288670725263209, 0.8320861607444743)"
Diabetes,XGBoost,False,0.8319808955223881,"(0.8303724340171716, 0.8335801606307758)"
Diabetes,CORAL,False,0.8320286567164179,"(0.8304203762204545, 0.8336277394904354)"
Diabetes,DANN,False,0.8257910447761194,"(0.8241595143541278, 0.8274135505236129)"
Diabetes,Group DRO,False,0.8317611940298507,"(0.8301519004837928, 0.8333612972746063)"
Diabetes,IRM,False,0.8258005970149254,"(0.8241691016055206, 0.827423067484848)"
Diabetes,MMD,False,0.8263116417910448,"(0.8246820221687766, 0.827932222297087)"
Diabetes,MixUp,False,0.8258053731343283,"(0.8241738952318891, 0.8274278259647919)"
Diabetes,VREX,False,0.8258053731343283,"(0.8241738952318891, 0.8274278259647919)"
Food Stamps,Adv. Label DRO,False,0.8116330455419616,"(0.808137988803429, 0.8150910524033648)"
Food Stamps,CatBoost,False,0.8246245754736282,"(0.8212237477475124, 0.8279868045375854)"
Food Stamps,DRO,False,0.8185686812062687,"(0.8151231175667193, 0.82197636824332)"
Food Stamps,FT-Transformer,False,0.8156430295838618,"(0.8121763658828256, 0.8190721654475437)"
Food Stamps,Label Group DRO,False,0.7518720078562953,"(0.7480177497521363, 0.755696332073678)"
Food Stamps,LightGBM,False,0.808151907022426,"(0.804615198285266, 0.8116172468855188)"
Food Stamps,MLP,False,0.8151110929252424,"(0.8116406279757155, 0.8185440934447232)"
Food Stamps,NODE,False,0.8220467285895495,"(0.818626680659311, 0.8254284852446683)"
Food Stamps,ResNet,False,0.8201440320798723,"(0.8167099668904227, 0.8235400328523114)"
Food Stamps,SAINT,False,0.8213102009083841,"(0.8178847100311888, 0.8246974883287641)"
Food Stamps,TabTransformer,False,0.806641024591841,"(0.8031114528032272, 0.8101341414116157)"
Food Stamps,XGBoost,False,0.8204918368182005,"(0.8170603232947051, 0.8238852444574185)"
Food Stamps,CORAL,False,0.7932403126150824,"(0.7896224517268291, 0.796823315007046)"
Food Stamps,DANN,False,0.7801260280698883,"(0.7764275744467167, 0.7837911849092328)"
Food Stamps,Group DRO,False,0.8173206759687385,"(0.813866071429781, 0.8207375526843554)"
Food Stamps,IRM,False,0.7948770407954499,"(0.7912696330982718, 0.7984493950447533)"
Food Stamps,MMD,False,0.7856499856786284,"(0.7819848043086135, 0.7892812125155924)"
Food Stamps,MixUp,False,0.7851998854290274,"(0.7815319567358101, 0.7888339131872869)"
Food Stamps,VREX,False,0.7801260280698883,"(0.7764275744467167, 0.7837911849092328)"
Hospital Readmission,Adv. Label DRO,False,0.6031627687961073,"(0.5988801306448981, 0.6073944167812806)"
Hospital Readmission,CatBoost,False,0.618368388008162,"(0.6141345301317853, 0.6225887613050769)"
Hospital Readmission,DRO,False,0.5782059331345157,"(0.5738847552737735, 0.5824789641144232)"
Hospital Readmission,FT-Transformer,False,0.6178386438549678,"(0.6135840379198962, 0.6220405874980846)"
Hospital Readmission,Label Group DRO,False,0.6159158687804113,"(0.6116770197287782, 0.6201415126939278)"
Hospital Readmission,LightGBM,False,0.5981203892638518,"(0.5938486981734077, 0.6023809027501941)"
Hospital Readmission,MLP,False,0.6123842410924502,"(0.6081384039590124, 0.616617275477595)"
Hospital Readmission,NODE,False,0.6238031706168576,"(0.6195807795497288, 0.6280114578504311)"
Hospital Readmission,ResNet,False,0.5813255375922147,"(0.5770282045078989, 0.5856136064706327)"
Hospital Readmission,SAINT,False,0.6104810861717156,"(0.6062315803654914, 0.6147180060703392)"
Hospital Readmission,TabTransformer,False,0.50655313137655,"(0.5022026292874413, 0.5109028869949737)"
Hospital Readmission,XGBoost,False,0.605281745408884,"(0.6010225619927296, 0.6095289353079502)"
Hospital Readmission,CORAL,False,0.5714762203735677,"(0.5671662273137787, 0.5757780712890632)"
Hospital Readmission,DANN,False,0.5061607283001098,"(0.5017905841151453, 0.5104909326405531)"
Hospital Readmission,Group DRO,False,0.6003767069533825,"(0.5961088543304689, 0.6046331249062601)"
Hospital Readmission,IRM,False,0.5504041751687333,"(0.5460729141881171, 0.5547296944966762)"
Hospital Readmission,MMD,False,0.5697300266834092,"(0.5654179708754179, 0.57403413927511)"
Hospital Readmission,MixUp,False,0.5672382671480144,"(0.5629037201136118, 0.5715259167555933)"
Hospital Readmission,VREX,False,0.5061607283001098,"(0.5017905841151453, 0.5104909326405531)"
ICU Hospital Mortality,Adv. Label DRO,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,CatBoost,False,0.8921293561724749,"(0.8867834986644036, 0.8973060726595309)"
ICU Hospital Mortality,DRO,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,FT-Transformer,False,,
ICU Hospital Mortality,Label Group DRO,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,LightGBM,False,0.8826832151300237,"(0.8771398155112706, 0.8880525285119395)"
ICU Hospital Mortality,MLP,False,0.8765505020673361,"(0.8708925981738264, 0.8820460699997144)"
ICU Hospital Mortality,NODE,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,ResNet,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,SAINT,False,,
ICU Hospital Mortality,TabTransformer,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,XGBoost,False,0.8817188422917898,"(0.8761610304980253, 0.8871120633328917)"
ICU Hospital Mortality,CORAL,False,0.8750738334317779,"(0.8693879193383877, 0.8805980553356485)"
ICU Hospital Mortality,DANN,False,0.8761813349084465,"(0.8705164044573451, 0.8816840903595599)"
ICU Hospital Mortality,Group DRO,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,IRM,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,MMD,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,MixUp,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Hospital Mortality,VREX,False,0.8761075014766686,"(0.8704411676415283, 0.8816116925025805)"
ICU Length of Stay,Adv. Label DRO,False,0.5444866920152092,"(0.5354620327454351, 0.5534894594386577)"
ICU Length of Stay,CatBoost,False,0.6737642585551331,"(0.6652334157141593, 0.6822095593437956)"
ICU Length of Stay,DRO,False,0.543979721166033,"(0.5349543756076542, 0.5529834243699014)"
ICU Length of Stay,FT-Transformer,False,,
ICU Length of Stay,Label Group DRO,False,0.542120828052387,"(0.5330930462264967, 0.5511278823235516)"
ICU Length of Stay,LightGBM,False,0.6549391069012179,"(0.6462774970411029, 0.6634899276898973)"
ICU Length of Stay,MLP,False,0.5444866920152092,"(0.5354620327454351, 0.5534894594386577)"
ICU Length of Stay,NODE,False,0.6089564850021124,"(0.6000966760242126, 0.6177626698183183)"
ICU Length of Stay,ResNet,False,0.5770173215040135,"(0.5680564235517074, 0.5859403174390946)"
ICU Length of Stay,SAINT,False,,
ICU Length of Stay,TabTransformer,False,0.5493029150823827,"(0.5402006182204642, 0.5582120012035123)"
ICU Length of Stay,XGBoost,False,0.6687790452049007,"(0.6602166906092104, 0.6772583140129769)"
ICU Length of Stay,CORAL,False,0.5440642163075623,"(0.535038984480038, 0.5530677641986352)"
ICU Length of Stay,DANN,False,0.545162653147444,"(0.5361389235049892, 0.5541641582871554)"
ICU Length of Stay,Group DRO,False,0.5440642163075623,"(0.535038984480038, 0.5530677641986352)"
ICU Length of Stay,IRM,False,0.5438952260245036,"(0.5348697669954752, 0.5528990842809507)"
ICU Length of Stay,MMD,False,0.5440642163075623,"(0.535038984480038, 0.5530677641986352)"
ICU Length of Stay,MixUp,False,0.5441487114490917,"(0.5351235936126368, 0.5531521037671432)"
ICU Length of Stay,VREX,False,0.5452471482889734,"(0.5362235360214745, 0.5542484944716232)"
Income,Adv. Label DRO,False,0.8191698172860323,"(0.8164131469861616, 0.8219020720641279)"
Income,CatBoost,False,0.8140849152296769,"(0.8112988429181525, 0.816846961814689)"
Income,DRO,False,0.8184716312523876,"(0.815710876708499, 0.8212080237995634)"
Income,FT-Transformer,False,0.8177866185401326,"(0.8150218715243686, 0.8205270560730933)"
Income,Label Group DRO,False,0.818050084967923,"(0.8152868717980375, 0.8207889684574898)"
Income,LightGBM,False,0.8091474338707978,"(0.8063310314426732, 0.8119351608739083)"
Income,MLP,False,0.8130705694826836,"(0.8102787262293312, 0.8158384647588262)"
Income,NODE,False,0.8098035857780822,"(0.8069933645194104, 0.8125901094560137)"
Income,ResNet,False,0.8152309941905652,"(0.812438230768338, 0.8179732984036115)"
Income,SAINT,False,0.8096981992069661,"(0.8068873903707687, 0.8124853185393072)"
Income,TabTransformer,False,0.8010696736968291,"(0.7981986028201111, 0.8038913706466972)"
Income,XGBoost,False,0.791901042009722,"(0.7889955323783084, 0.7947842257772151)"
Income,CORAL,False,0.7905310165852116,"(0.7876185766498275, 0.7934212356035658)"
Income,DANN,False,0.8120825703784695,"(0.8092851357657997, 0.8148561327413582)"
Income,Group DRO,False,0.8125568099484923,"(0.8097620555434821, 0.8153276557548487)"
Income,IRM,False,0.699174032748877,"(0.6958974125322901, 0.7024354245349842)"
Income,MMD,False,0.7684130099722043,"(0.7653953068520049, 0.7714101860249137)"
Income,MixUp,False,0.793995600110656,"(0.7911007824234768, 0.7968679314795115)"
Income,VREX,False,0.6400916863168711,"(0.6366654097552118, 0.643507253031706)"
Unemployment,Adv. Label DRO,False,0.960021025481172,"(0.9590604951742214, 0.960965210814781)"
Unemployment,CatBoost,False,0.9615979365690572,"(0.9606555230615831, 0.9625239477191193)"
Unemployment,DRO,False,0.9614023506976914,"(0.9604576675876166, 0.9623306385728255)"
Unemployment,FT-Transformer,False,0.9615184798088148,"(0.9605751434905448, 0.9624454166633554)"
Unemployment,Label Group DRO,False,0.9261724456179596,"(0.9248947630640847, 0.9274350019767675)"
Unemployment,LightGBM,False,0.9604907539118066,"(0.9595303056888288, 0.9614244162948301)"
Unemployment,MLP,False,0.9604060851654228,"(0.9594499408745154, 0.9613458704790274)"
Unemployment,NODE,False,0.9616223848029778,"(0.9606802554539224, 0.9625481109042081)"
Unemployment,ResNet,False,0.9594220437501146,"(0.9584547381031759, 0.960373026197311)"
Unemployment,SAINT,False,0.9619524359609072,"(0.9610079693285114, 0.9628682634283275)"
Unemployment,TabTransformer,False,0.9606016710367884,"(0.9596477638170056, 0.9615392121641031)"
Unemployment,XGBoost,False,0.9614512471655328,"(0.9605009479170653, 0.962372925504185)"
Unemployment,CORAL,False,0.9495755175385518,"(0.9485041717981918, 0.9506308965354001)"
Unemployment,DANN,False,0.9484753470121202,"(0.9473931380744737, 0.9495416288937227)"
Unemployment,Group DRO,False,0.958462450568727,"(0.9574844079696028, 0.9594242048250821)"
Unemployment,IRM,False,0.9484875711290806,"(0.9474054821404088, 0.9495537326208638)"
Unemployment,MMD,False,0.9527537879482432,"(0.9517146268219253, 0.9537768675386815)"
Unemployment,MixUp,False,0.7757363502453991,"(0.7737073621179882, 0.7777555632515167)"
Unemployment,VREX,False,0.7999095415344935,"(0.7979626359458836, 0.801845814133845)"
Childhood Lead,Adv. Label DRO,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,CatBoost,False,0.9195883481597767,"(0.9144601281885076, 0.924502314707095)"
Childhood Lead,DRO,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,FT-Transformer,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,Label Group DRO,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,LightGBM,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,MLP,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,NODE,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,ResNet,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,SAINT,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,TabTransformer,False,0.9196755625327054,"(0.9145497828723822, 0.9245870430272852)"
Childhood Lead,XGBoost,False,0.9195883481597767,"(0.9144601281885076, 0.924502314707095)"
Childhood Lead,CORAL,False,,
Childhood Lead,DANN,False,,
Childhood Lead,Group DRO,False,,
Childhood Lead,IRM,False,,
Childhood Lead,MMD,False,,
Childhood Lead,MixUp,False,,
Childhood Lead,VREX,False,,
FICO HELOC,Adv. Label DRO,False,0.431009545849002,"(0.4191513789727084, 0.44263678881181956)"
FICO HELOC,CatBoost,False,0.582007520971941,"(0.5702765909131363, 0.593669241298296)"
FICO HELOC,DRO,False,0.431009545849002,"(0.4191513789727084, 0.44263678881181956)"
FICO HELOC,FT-Transformer,False,0.431009545849002,"(0.4191513789727084, 0.44263678881181956)"
FICO HELOC,Label Group DRO,False,0.431009545849002,"(0.4191513789727084, 0.44263678881181956)"
FICO HELOC,LightGBM,False,0.4212962962962963,"(0.4094991477684466, 0.43291623340037827)"
FICO HELOC,MLP,False,0.5381833960080995,"(0.5263458188928694, 0.5499887512770938)"
FICO HELOC,NODE,False,0.431009545849002,"(0.4191513789727084, 0.44263678881181956)"
FICO HELOC,ResNet,False,0.4314434480763668,"(0.41972777607373174, 0.44321697600471743)"
FICO HELOC,SAINT,False,0.431009545849002,"(0.4191513789727084, 0.44263678881181956)"
FICO HELOC,TabTransformer,False,0.431009545849002,"(0.4191513789727084, 0.44263678881181956)"
FICO HELOC,XGBoost,False,0.431009545849002,"(0.4191513789727084, 0.44263678881181956)"
FICO HELOC,CORAL,False,,
FICO HELOC,DANN,False,,
FICO HELOC,Group DRO,False,,
FICO HELOC,IRM,False,,
FICO HELOC,MMD,False,,
FICO HELOC,MixUp,False,,
FICO HELOC,VREX,False,,
Hypertension,Adv. Label DRO,False,0.6011680954529504,"(0.5998339210243074, 0.602501139610804)"
Hypertension,CatBoost,False,0.5987462930612276,"(0.5974107873504777, 0.6000806955591291)"
Hypertension,DRO,False,0.4157073938244039,"(0.4143655858663405, 0.41705014351098624)"
Hypertension,FT-Transformer,False,0.6041510001503986,"(0.6028185121730103, 0.6054823245299451)"
Hypertension,Label Group DRO,False,0.6039254023161378,"(0.6025927849851103, 0.6052568585698612)"
Hypertension,LightGBM,False,0.6340730103883866,"(0.6327599295470678, 0.6353837727075402)"
Hypertension,MLP,False,0.5831106277789989,"(0.5817673384767095, 0.5844529885583578)"
Hypertension,NODE,False,0.5974736898936026,"(0.5961374982126169, 0.5988087925800525)"
Hypertension,ResNet,False,0.6077702064316592,"(0.6064398341775743, 0.6090993746514778)"
Hypertension,SAINT,False,0.5950133237695278,"(0.5936758323588067, 0.5963497536743925)"
Hypertension,TabTransformer,False,0.4994755332400091,"(0.4981137812485044, 0.5008372910908439)"
Hypertension,XGBoost,False,0.5884748429491999,"(0.5871321373079577, 0.5898127037843113)"
Hypertension,CORAL,False,,
Hypertension,DANN,False,,
Hypertension,Group DRO,False,,
Hypertension,IRM,False,,
Hypertension,MMD,False,,
Hypertension,MixUp,False,,
Hypertension,VREX,False,,
Public Health Ins.,Adv. Label DRO,False,,
Public Health Ins.,CatBoost,False,0.6903091785195085,"(0.6893058429236547, 0.6913111660938955)"
Public Health Ins.,DRO,False,0.6467378346621803,"(0.6457008075850109, 0.6477738223752629)"
Public Health Ins.,FT-Transformer,False,0.662240165697287,"(0.6612140001009927, 0.6632651821147977)"
Public Health Ins.,Label Group DRO,False,0.3637295094494649,"(0.36268679052349373, 0.3647731935930434)"
Public Health Ins.,LightGBM,False,0.6389655104955299,"(0.637923250608428, 0.6400063096537498)"
Public Health Ins.,MLP,False,0.6120663620568864,"(0.6110093112187056, 0.6131226191255919)"
Public Health Ins.,NODE,False,0.6615554661642277,"(0.6605287951560079, 0.6625809928439657)"
Public Health Ins.,ResNet,False,0.6719335548010276,"(0.670914803731927, 0.6729510880241223)"
Public Health Ins.,SAINT,False,0.6795814040497532,"(0.6785688494960194, 0.680592686579731)"
Public Health Ins.,TabTransformer,False,0.5879686065264093,"(0.5869009753252752, 0.5890356146480025)"
Public Health Ins.,XGBoost,False,0.6607839565117982,"(0.6597567188852056, 0.66181005527516)"
Public Health Ins.,CORAL,False,,
Public Health Ins.,DANN,False,,
Public Health Ins.,Group DRO,False,,
Public Health Ins.,IRM,False,,
Public Health Ins.,MMD,False,,
Public Health Ins.,MixUp,False,,
Public Health Ins.,VREX,False,,
Sepsis,Adv. Label DRO,False,0.9249267124001131,"(0.9235050298039503, 0.9263300298077665)"
Sepsis,CatBoost,False,0.924777905090698,"(0.9233549437040445, 0.926182507778373)"
Sepsis,DRO,False,0.9249267124001131,"(0.9235050298039503, 0.9263300298077665)"
Sepsis,FT-Transformer,False,0.924934152765584,"(0.923512534151363, 0.9263374058668123)"
Sepsis,Label Group DRO,False,0.9249267124001131,"(0.9235050298039503, 0.9263300298077665)"
Sepsis,LightGBM,False,0.927563835485983,"(0.9261618255882145, 0.9289408978746264)"
Sepsis,MLP,False,0.9249118316691716,"(0.9234900211212547, 0.9263152776775423)"
Sepsis,NODE,False,0.9249267124001131,"(0.9235050298039503, 0.9263300298077665)"
Sepsis,ResNet,False,0.9249267124001131,"(0.9235050298039503, 0.9263300298077665)"
Sepsis,SAINT,False,0.9249267124001131,"(0.9235050298039503, 0.9263300298077665)"
Sepsis,TabTransformer,False,0.9249267124001131,"(0.9235050298039503, 0.9263300298077665)"
Sepsis,XGBoost,False,0.924926712400113,"(0.9234975254605808, 0.9263226537446752)"
Sepsis,CORAL,False,,
Sepsis,DANN,False,,
Sepsis,Group DRO,False,,
Sepsis,IRM,False,,
Sepsis,MMD,False,,
Sepsis,MixUp,False,,
Sepsis,VREX,False,,
